Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C6",0805,3,47n,
"C10, C16, C17, C3, C4, C9",0805,6,0.1u,
"C11, C14, C18, C2, C21, C7",0805,6,1u,
"C12, C19, C8",0805,3,22u,
D1,D_SMA,1,SS34,
"J1, J10, J11, J2, J6, J9",PinSocket_1x04_P2.54mm_Vertical,6,Conn_01x04,
"J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
"J7, J8",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,
"R1, R10, R11, R12, R13, R14, R15, R4, R6, R7, R8, R9",0805,12,5.1k,
"R2, R3, R5",0805,3,22,
"R25, R26, R27",0805,3,4.7k,
"R34, R35, R36",0805,3,510,
"U1, U2, U3",VQFN40_RGF_TEX,3,DRV8316CRRGFR,
"VR1, VR2, VR3",Potentiometer_Bourns_3296W_Vertical,3,3296W-1-103RLF,
