"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
2;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
3;"C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22u";;;
4;"J2,J3,J4,J5";"PinSocket_1x04_P2.00mm_Vertical";4;"Conn_01x04";;;
5;"D1";"SOD2513X120N";1;"BAT760-7";;;
6;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
7;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
8;"J7";"PinHeader_1x11_P2.00mm_Vertical";1;"Conn_01x11";;;
9;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
10;"S1,S2";"SW_TS-1088-AR02016";2;"TS-1088-AR02016";;;
11;"C4,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
12;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1u";;;
13;"R3";"RES_ERA6ARB512V";1;"5.1k";;;
14;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
15;"U3";"SOT-223-3_TabPin2";1;"MCP1826S";;;
16;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1k";;;
17;"U2";"SOT-666";1;"USBLC6-2P6";;;
