Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,22u,
"C2, C4",0805,2,10u,
C5,0805,1,100n,
C6,0805,1,0.1u,
C7,0805,1,1u,
D1,SOD2513X120N,1,BAT760-7,
D2,0805,1,Red LED,
D3,0805,1,Green LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"J2, J3, J4, J5",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J7,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11,
"R1, R3",0805,2,5.1k,
R2,0805,1,100,
R4,0805,1,1k,
R5,0805,1,10k,
R6,0805,1,330,
"S1, S2",SW_TS-1088-AR02016,2,TS-1088-AR02016,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-666,1,USBLC6-2P6,
U3,SOT-223-3_TabPin2,1,MCP1826S,
