Designator,Mid X,Mid Y,Rotation,Layer
C1,119.5,-73.888,270.0,top
C2,117.5,-78.0,180.0,top
C3,122.5,-73.888,270.0,top
C4,117.0,-73.9625,270.0,top
C5,121.5,-78.0,180.0,top
C6,113.5,-91.0,90.0,top
C7,121.0,-84.5,0.0,top
D1,113.0,-81.0,0.0,top
D2,106.0,-97.5,180.0,top
D3,145.5,-73.5,0.0,top
J1,107.132857,-87.32,270.0,top
J2,141.73,-105.0,270.0,top
J3,149.5,-101.19,180.0,top
J4,149.5,-89.19,180.0,top
J5,149.5,-77.69,180.0,top
J6,139.23,-101.0,90.0,top
J7,120.92,-105.0,270.0,top
R1,108.5,-80.5,180.0,top
R2,144.5,-91.5,270.0,top
R3,110.4625,-94.0,0.0,top
R4,106.0,-94.5,180.0,top
R5,116.5,-84.5,180.0,top
R6,145.5,-76.0,0.0,top
S1,119.0,-81.5,180.0,top
S2,144.5,-96.5,270.0,top
U1,133.5,-78.65,0.0,top
U2,118.0,-88.5,0.0,top
U3,110.85,-75.8,0.0,top
